Date,Empl CMID,Time In,Time Out
09/08/2021,3,07:45:54,17:00:00
09/08/2021,10,07:37:30,12:00:00
09/08/2021,11,05:33:22,12:00:00
09/08/2021,16,06:03:45,12:00:00
09/08/2021,17,05:21:02,12:00:00
09/08/2021,23,05:32:33,12:00:00
09/08/2021,24,05:47:15,12:00:00
09/08/2021,26,07:29:29,12:00:00
09/08/2021,29,05:43:56,12:00:00
09/08/2021,30,05:46:01,12:00:00
09/08/2021,32,05:59:11,12:00:00
09/08/2021,36,05:48:20,12:00:00
09/08/2021,37,05:07:39,12:00:00
09/08/2021,41,05:32:38,12:00:00
09/08/2021,44,05:29:15,12:00:00
09/08/2021,46,07:44:52,12:00:00
09/08/2021,48,07:44:59,12:00:00
09/08/2021,51,05:40:22,12:00:00
09/08/2021,52,07:57:14,12:00:00
09/08/2021,55,07:43:34,12:00:00
09/08/2021,59,05:47:24,12:00:00
09/08/2021,63,07:24:50,12:00:00
09/08/2021,65,05:19:28,12:00:00
09/08/2021,67,07:38:31,12:00:00
09/08/2021,68,07:43:21,12:00:00
09/08/2021,69,08:11:01,12:00:00
09/08/2021,71,05:28:45,12:00:00
09/08/2021,73,05:48:33,12:00:00
09/08/2021,79,08:12:11,12:00:00
09/08/2021,83,06:06:18,12:00:00
09/08/2021,92,05:27:04,12:00:00
09/08/2021,97,07:42:58,12:00:00
09/08/2021,103,05:48:45,12:00:00
09/08/2021,108,07:20:09,12:00:00
09/08/2021,109,05:19:34,12:00:00
09/08/2021,110,06:34:25,12:00:00
09/08/2021,112,05:37:51,12:00:00
09/08/2021,115,07:08:07,12:00:00
09/08/2021,121,05:40:27,12:00:00
09/08/2021,127,05:28:49,12:00:00
09/08/2021,133,07:42:26,12:00:00
09/08/2021,134,07:46:54,12:00:00
09/08/2021,136,08:56:04,12:00:00
09/08/2021,141,07:55:52,12:00:00
09/08/2021,143,08:53:41,12:00:00
09/08/2021,145,05:10:45,12:00:00
09/08/2021,147,05:37:03,12:00:00
09/08/2021,153,05:53:01,12:00:00
09/08/2021,163,08:08:10,12:00:00
09/08/2021,165,07:55:28,12:00:00
09/08/2021,166,07:09:43,12:00:00
09/08/2021,177,07:14:45,12:00:00
09/08/2021,182,05:39:53,12:00:00
09/08/2021,185,07:42:06,12:00:00
09/08/2021,191,07:44:26,12:00:00
09/08/2021,192,07:22:48,12:00:00
09/08/2021,195,07:01:19,12:00:00
09/08/2021,196,07:55:20,12:00:00
09/08/2021,200,05:50:13,12:00:00
09/08/2021,201,07:38:25,12:00:00
09/08/2021,205,07:38:18,12:00:00
09/08/2021,207,08:51:21,12:00:00
09/08/2021,219,08:02:31,12:00:00
09/08/2021,221,05:48:58,12:00:00
09/08/2021,226,05:34:23,12:00:00
09/08/2021,228,05:33:46,12:00:00
09/08/2021,229,06:03:11,12:00:00
09/08/2021,240,05:36:51,12:00:00
09/08/2021,241,05:36:41,12:00:00
09/08/2021,244,05:41:18,12:00:00
09/08/2021,245,05:39:20,12:00:00
09/08/2021,247,05:29:00,12:00:00
09/08/2021,254,05:39:14,12:00:00
09/08/2021,256,05:29:50,12:00:00
09/08/2021,259,07:45:32,12:00:00
09/08/2021,266,05:14:54,12:00:00
09/08/2021,271,05:26:57,12:00:00
09/08/2021,275,08:00:23,12:00:00
09/08/2021,278,05:27:17,12:00:00
09/08/2021,285,07:34:18,12:00:00
09/08/2021,296,05:44:50,12:00:00
09/08/2021,297,07:44:44,12:00:00
09/08/2021,300,06:03:39,12:00:00
09/08/2021,302,05:59:03,12:00:00
09/08/2021,308,07:25:36,17:00:00
09/08/2021,309,05:19:39,12:00:00
09/08/2021,315,08:52:21,12:00:00
09/08/2021,319,08:52:06,12:00:00
09/08/2021,322,05:19:05,12:00:00
09/08/2021,327,08:32:04,12:00:00
09/08/2021,328,08:31:58,12:00:00
09/08/2021,329,05:19:53,12:00:00
09/08/2021,330,05:20:13,12:00:00
09/08/2021,331,05:15:12,12:00:00
09/08/2021,333,07:29:11,17:00:00
09/08/2021,336,07:58:00,12:00:00
09/08/2021,337,07:29:05,12:00:00
09/08/2021,340,05:41:54,12:00:00
09/08/2021,342,05:28:34,12:00:00
09/08/2021,343,05:37:20,12:00:00
09/08/2021,352,05:28:29,12:00:00
09/08/2021,356,05:26:21,12:00:00
09/08/2021,357,08:30:39,12:00:00
09/08/2021,360,06:12:32,12:00:00
09/08/2021,365,05:36:19,12:00:00
09/08/2021,371,06:44:45,17:00:00
09/08/2021,372,06:48:57,17:00:00
09/08/2021,379,07:34:29,12:00:00
09/08/2021,380,07:44:52,12:00:00
